Kalendae Ianuariae,Kalendae Ianuariae
ante diem quartum Nonas Ianuarias,ante diem quartum Nonas Ianuarias
ante diem tertium Nonas Ianuarias,ante diem tertium Nonas Ianuarias
pridie Nonas Ianuarias,pridie Nonas Ianuarias
Nonae Ianuariae,Nonae Ianuariae
ante diem octavum Idus Ianuarias,ante diem octavum Idus Ianuarias
ante diem septimum Idus Ianuarias,ante diem septimum Idus Ianuarias
ante diem sextum Idus Ianuarias,ante diem sextum Idus Ianuarias
ante diem quintum Idus Ianuarias,ante diem quintum Idus Ianuarias
ante diem quartum Idus Ianuarias,ante diem quartum Idus Ianuarias
ante diem tertium Idus Ianuarias,ante diem tertium Idus Ianuarias
pridie Idus Ianuarias,pridie Idus Ianuarias
Idus Ianuariae,Idus Ianuariae
ante diem undevicesimum Kalendas Februarias,ante diem undevicesimum Kalendas Februarias
ante diem duodevicesimum Kalendas Februarias,ante diem duodevicesimum Kalendas Februarias
ante diem septimum decimum Kalendas Februarias,ante diem septimum decimum Kalendas Februarias
ante diem sextum decimum Kalendas Februarias,ante diem sextum decimum Kalendas Februarias
ante diem quintum decimum Kalendas Februarias,ante diem quintum decimum Kalendas Februarias
ante diem quartum decimum Kalendas Februarias,ante diem quartum decimum Kalendas Februarias
ante diem tertium decimum Kalendas Februarias,ante diem tertium decimum Kalendas Februarias
ante diem duodecimum Kalendas Februarias,ante diem duodecimum Kalendas Februarias
ante diem undecimum Kalendas Februarias,ante diem undecimum Kalendas Februarias
ante diem decimum Kalendas Februarias,ante diem decimum Kalendas Februarias
ante diem nonum Kalendas Februarias,ante diem nonum Kalendas Februarias
ante diem octavum Kalendas Februarias,ante diem octavum Kalendas Februarias
ante diem septimum Kalendas Februarias,ante diem septimum Kalendas Februarias
ante diem sextum Kalendas Februarias,ante diem sextum Kalendas Februarias
ante diem quintum Kalendas Februarias,ante diem quintum Kalendas Februarias
ante diem quartum Kalendas Februarias,ante diem quartum Kalendas Februarias
ante diem tertium Kalendas Februarias,ante diem tertium Kalendas Februarias
pridie Kalendas Februarias,pridie Kalendas Februarias
Kalendae Februariae,Kalendae Februariae
ante diem quartum Nonas Februarias,ante diem quartum Nonas Februarias
ante diem tertium Nonas Februarias,ante diem tertium Nonas Februarias
pridie Nonas Februarias,pridie Nonas Februarias
Nonae Februariae,Nonae Februariae
ante diem octavum Idus Februarias,ante diem octavum Idus Februarias
ante diem septimum Idus Februarias,ante diem septimum Idus Februarias
ante diem sextum Idus Februarias,ante diem sextum Idus Februarias
ante diem quintum Idus Februarias,ante diem quintum Idus Februarias
ante diem quartum Idus Februarias,ante diem quartum Idus Februarias
ante diem tertium Idus Februarias,ante diem tertium Idus Februarias
pridie Idus Februarias,pridie Idus Februarias
Idus Februariae,Idus Februariae
ante diem sextum decimum Kalendas Martias,ante diem sextum decimum Kalendas Martias
ante diem quintum decimum Kalendas Martias,ante diem quintum decimum Kalendas Martias
ante diem quartum decimum Kalendas Martias,ante diem quartum decimum Kalendas Martias
ante diem tertium decimum Kalendas Martias,ante diem tertium decimum Kalendas Martias
ante diem duodecimum Kalendas Martias,ante diem duodecimum Kalendas Martias
ante diem undecimum Kalendas Martias,ante diem undecimum Kalendas Martias
ante diem decimum Kalendas Martias,ante diem decimum Kalendas Martias
ante diem nonum Kalendas Martias,ante diem nonum Kalendas Martias
ante diem octavum Kalendas Martias,ante diem octavum Kalendas Martias
ante diem septimum Kalendas Martias,ante diem septimum Kalendas Martias
ante diem sextum Kalendas Martias,ante diem sextum Kalendas Martias
ante diem quintum Kalendas Martias,ante diem bis sextum Kalendas Martias
ante diem quartum Kalendas Martias,ante diem quintum Kalendas Martias
ante diem tertium Kalendas Martias,ante diem quartum Kalendas Martias
pridie Kalendas Martias,ante diem tertium Kalendas Martias
Kalendae Martiae,pridie Kalendas Martias
ante diem sextum Nonas Martias,Kalendae Martiae
ante diem quintum Nonas Martias,ante diem sextum Nonas Martias
ante diem quartum Nonas Martias,ante diem quintum Nonas Martias
ante diem tertium Nonas Martias,ante diem quartum Nonas Martias
pridie Nonas Martias,ante diem tertium Nonas Martias
Nonae Martiae,pridie Nonas Martias
ante diem octavum Idus Martias,Nonae Martiae
ante diem septimum Idus Martias,ante diem octavum Idus Martias
ante diem sextum Idus Martias,ante diem septimum Idus Martias
ante diem quintum Idus Martias,ante diem sextum Idus Martias
ante diem quartum Idus Martias,ante diem quintum Idus Martias
ante diem tertium Idus Martias,ante diem quartum Idus Martias
pridie Idus Martias,ante diem tertium Idus Martias
Idus Martiae,pridie Idus Martias
ante diem septimum decimum Kalendas Apriles,Idus Martiae
ante diem sextum decimum Kalendas Apriles,ante diem septimum decimum Kalendas Apriles
ante diem quintum decimum Kalendas Apriles,ante diem sextum decimum Kalendas Apriles
ante diem quartum decimum Kalendas Apriles,ante diem quintum decimum Kalendas Apriles
ante diem tertium decimum Kalendas Apriles,ante diem quartum decimum Kalendas Apriles
ante diem duodecimum Kalendas Apriles,ante diem tertium decimum Kalendas Apriles
ante diem undecimum Kalendas Apriles,ante diem duodecimum Kalendas Apriles
ante diem decimum Kalendas Apriles,ante diem undecimum Kalendas Apriles
ante diem nonum Kalendas Apriles,ante diem decimum Kalendas Apriles
ante diem octavum Kalendas Apriles,ante diem nonum Kalendas Apriles
ante diem septimum Kalendas Apriles,ante diem octavum Kalendas Apriles
ante diem sextum Kalendas Apriles,ante diem septimum Kalendas Apriles
ante diem quintum Kalendas Apriles,ante diem sextum Kalendas Apriles
ante diem quartum Kalendas Apriles,ante diem quintum Kalendas Apriles
ante diem tertium Kalendas Apriles,ante diem quartum Kalendas Apriles
pridie pridie Kalendas Apriles,ante diem tertium Kalendas Apriles
Kalendae Apriles,pridie pridie Kalendas Apriles
ante diem quartum Nonas Apriles,Kalendae Apriles
ante diem tertium Nonas Apriles,ante diem quartum Nonas Apriles
pridie Nonas Apriles,ante diem tertium Nonas Apriles
Nonas Apriles,pridie Nonas Apriles
ante diem octavum Idus Apriles,Nonas Apriles
ante diem septimum Idus Apriles,ante diem octavum Idus Apriles
ante diem sextum Idus Apriles,ante diem septimum Idus Apriles
ante diem quintum Idus Apriles,ante diem sextum Idus Apriles
ante diem quartum Idus Apriles,ante diem quintum Idus Apriles
ante diem tertium Idus Apriles,ante diem quartum Idus Apriles
pridie Idus Apriles,ante diem tertium Idus Apriles
Idus Apriles,pridie Idus Apriles
ante diem duodevicesimum Kalendas Maias,Idus Apriles
ante diem septimum decimum Kalendas Maias,ante diem duodevicesimum Kalendas Maias
ante diem sextum decimum Kalendas Maias,ante diem septimum decimum Kalendas Maias
ante diem quintum decimum Kalendas Maias,ante diem sextum decimum Kalendas Maias
ante diem quartum decimum Kalendas Maias,ante diem quintum decimum Kalendas Maias
ante diem tertium decimum Kalendas Maias,ante diem quartum decimum Kalendas Maias
ante diem duodecimum Kalendas Maias,ante diem tertium decimum Kalendas Maias
ante diem undecimum Kalendas Maias,ante diem duodecimum Kalendas Maias
ante diem decimum Kalendas Maias,ante diem undecimum Kalendas Maias
ante diem nonum Kalendas Maias,ante diem decimum Kalendas Maias
ante diem octavum Kalendas Maias,ante diem nonum Kalendas Maias
ante diem septimum Kalendas Maias,ante diem octavum Kalendas Maias
ante diem sextum Kalendas Maias,ante diem septimum Kalendas Maias
ante diem quintum Kalendas Maias,ante diem sextum Kalendas Maias
ante diem quartum Kalendas Maias,ante diem quintum Kalendas Maias
ante diem tertium Kalendas Maias,ante diem quartum Kalendas Maias
pridie pridie Kalendas Maias,ante diem tertium Kalendas Maias
Kalendas Maiae,pridie pridie Kalendas Maias
ante diem sextum Nonas Maias,Kalendas Maiae
ante diem quintum Nonas Maias,ante diem sextum Nonas Maias
ante diem quartum Nonas Maias,ante diem quintum Nonas Maias
ante diem tertium Nonas Maias,ante diem quartum Nonas Maias
pridie Nonas Maias,ante diem tertium Nonas Maias
Nonae Maiae,pridie Nonae Maiae
ante diem octavum Idus Maias,Nonae Maiae
ante diem septimum Idus Maias,ante diem octavum Idus Maias
ante diem sextum Idus Maias,ante diem septimum Idus Maias
ante diem quintum Idus Maias,ante diem sextum Idus Maias
ante diem quartum Idus Maias,ante diem quintum Idus Maias
ante diem tertium Idus Maias,ante diem quartum Idus Maias
pridie Idus Maias,ante diem tertium Idus Maias
Idus Maiae,pridie Idus Maias
ante diem septimum decimum Kalendas Iunias,Idus Maiae
ante diem sextum decimum Kalendas Iunias,ante diem septimum decimum Kalendas Iunias
ante diem quintum decimum Kalendas Iunias,ante diem sextum decimum Kalendas Iunias
ante diem quartum decimum Kalendas Iunias,ante diem quintum decimum Kalendas Iunias
ante diem tertium decimum Kalendas Iunias,ante diem quartum decimum Kalendas Iunias
