ante diem duodecimum Kalendas Iunias,ante diem tertium decimum Kalendas Iunias
ante diem undecimum Kalendas Iunias,ante diem duodecimum Kalendas Iunias
ante diem decimum Kalendas Iunias,ante diem undecimum Kalendas Iunias
ante diem nonum Kalendas Iunias,ante diem decimum Kalendas Iunias
ante diem octavum Kalendas Iunias,ante diem nonum Kalendas Iunias
ante diem septimum Kalendas Iunias,ante diem octavum Kalendas Iunias
ante diem sextum Kalendas Iunias,ante diem septimum Kalendas Iunias
ante diem quintum Kalendas Iunias,ante diem sextum Kalendas Iunias
ante diem quartum Kalendas Iunias,ante diem quintum Kalendas Iunias
ante diem tertium Kalendas Iunias,ante diem quartum Kalendas Iunias
pridie Kalendas Iunias,ante diem tertium Kalendas Iunias
Kalendae Iuniae,pridie Kalendas Iunias
ante diem quartum Nonas Iunias,Kalendae Iuniae
ante diem tertium Nonas Iunias,ante diem quartum Nonas Iunias
pridie Nonas Iunias,ante diem tertium Nonas Iunias
Nonae Iuniae,pridie Nonas Iunias
ante diem octavum Idus Iunias,Nonae Iuniae
ante diem septimum Idus Iunias,ante diem octavum Idus Iunias
ante diem sextum Idus Iunias,ante diem septimum Idus Iunias
ante diem quintum Idus Iunias,ante diem sextum Idus Iunias
ante diem quartum Idus Iunias,ante diem quintum Idus Iunias
ante diem tertium Idus Iunias,ante diem quartum Idus Iunias
pridie Idus Iunias,ante diem tertium Idus Iunias
Idus Iuniae,pridie Idus Iunias
ante diem duodevicesimum Kalendas Iulias,Idus Iuniae
ante diem septimum decimum Kalendas Iulias,ante diem duodevicesimum Kalendas Iulias
ante diem sextum decimum Kalendas Iulias,ante diem septimum decimum Kalendas Iulias
ante diem quintum decimum Kalendas Iulias,ante diem sextum decimum Kalendas Iulias
ante diem quartum decimum Kalendas Iulias,ante diem quintum decimum Kalendas Iulias
ante diem tertium decimum Kalendas Iulias,ante diem quartum decimum Kalendas Iulias
ante diem duodecimum Kalendas Iulias,ante diem tertium decimum Kalendas Iulias
ante diem undecimum Kalendas Iulias,ante diem duodecimum Kalendas Iulias
ante diem decimum Kalendas Iulias,ante diem undecimum Kalendas Iulias
ante diem nonum Kalendas Iulias,ante diem decimum Kalendas Iulias
ante diem octavum Kalendas Iulias,ante diem nonum Kalendas Iulias
ante diem septimum Kalendas Iulias,ante diem octavum Kalendas Iulias
ante diem sextum Kalendas Iulias,ante diem septimum Kalendas Iulias
ante diem quintum Kalendas Iulias,ante diem sextum Kalendas Iulias
ante diem quartum Kalendas Iulias,ante diem quintum Kalendas Iulias
ante diem tertium Kalendas Iulias,ante diem quartum Kalendas Iulias
pridie Kalenas Iulias,ante diem tertium Kalendas Iulias
Kalendae Iuliae,pridie Kalendas Iulias
ante diem sextum Nonas Iulias,Kalendae Iuliae
ante diem quintum Nonas Iulias,ante diem sextum Nonas Iulias
ante diem quartum Nonas Iulias,ante diem quintum Nonas Iulias
ante diem tertium Nonas Iulias,ante diem quartum Nonas Iulias
pridie Nonas Iulias,ante diem tertium Nonas Iulias
Nonae Iuliae,pridie Nonas Iulias
ante diem octavum Idus Iulias,Nonae Iuliae
ante diem septimum Idus Iulias,ante diem octavum Idus Iulias
ante diem sextum Idus Iulias,ante diem septimum Idus Iulias
ante diem quintum Idus Iulias,ante diem sextum Idus Iulias
ante diem quartum Idus Iulias,ante diem quintum Idus Iulias
ante diem tertium Idus Iulias,ante diem quartum Idus Iulias
pridie Idus Iulias,ante diem tertium Idus Iulias
Idus Iuliae,pridie Idus Iulias
ante diem septimum decimum Kalendas Augustas,Idus Iuliae
ante diem sextum decimum Kalendas Augustas,ante diem septimum decimum Kalendas Augustas
ante diem quintum decimum Kalendas Augustas,ante diem sextum decimum Kalendas Augustas
ante diem quartum decimum Kalendas Augustas,ante diem quintum decimum Kalendas Augustas
ante diem tertium decimum Kalendas Augustas,ante diem quartum decimum Kalendas Augustas
ante diem duodecimum Kalendas Augustas,ante diem tertium decimum Kalendas Augustas
ante diem undecimum Kalendas Augustas,ante diem duodecimum Kalendas Augustas
ante diem decimum Kalendas Augustas,ante diem undecimum Kalendas Augustas
ante diem nonum Kalendas Augustas,ante diem decimum Kalendas Augustas
ante diem octavum Kalendas Augustas,ante diem nonum Kalendas Augustas
ante diem septimum Kalendas Augustas,ante diem octavum Kalendas Augustas
ante diem sextum Kalendas Augustas,ante diem septimum Kalendas Augustas
ante diem quintum Kalendas Augustas,ante diem sextum Kalendas Augustas
ante diem quartum Kalendas Augustas,ante diem quintum Kalendas Augustas
ante diem tertium Kalendas Augustas,ante diem quartum Kalendas Augustas
pridie pridie Kalendas Augustas,ante diem tertium Kalendas Augustas
Kalendae Augustae,pridie pridie Kalendas Augustas
ante diem quartum Nonas Augustas,Kalendae Augustae
ante diem tertium Nonas Augustas,ante diem quartum Nonas Augustas
pridie Nonas Augustas,ante diem tertium Nonas Augustas
Nonae Augustae,pridie Nonas Augustas
ante diem octavum Idus Augustas,Nonae Augustae
ante diem septimum Idus Augustas,ante diem octavum Idus Augustas
ante diem sextum Idus Augustas,ante diem septimum Idus Augustas
ante diem quintum Idus Augustas,ante diem sextum Idus Augustas
ante diem quartum Idus Augustas,ante diem quintum Idus Augustas
ante diem tertium Idus Augustas,ante diem quartum Idus Augustas
pridie Idus Augustas,ante diem tertium Idus Augustas
Idus Augustae,pridie Idus Augustas
ante diem undevicesimum Kalendas Septembres,Idus Augustae
ante diem duodevicesimum Kalendas Septembres,ante diem undevicesimum Kalendas Septembres
ante diem septimum decimum Kalendas Septembres,ante diem duodevicesimum Kalendas Septembres
ante diem sextum decimum Kalendas Septembres,ante diem septimum decimum Kalendas Septembres
ante diem quintum decimum Kalendas Septembres,ante diem sextum decimum Kalendas Septembres
ante diem quartum decimum Kalendas Septembres,ante diem quintum decimum Kalendas Septembres
ante diem tertium decimum Kalendas Septembres,ante diem quartum decimum Kalendas Septembres
ante diem duodecimum Kalendas Septembres,ante diem tertium decimum Kalendas Septembres
ante diem undecimum Kalendas Septembres,ante diem duodecimum Kalendas Septembres
ante diem decimum Kalendas Septembres,ante diem undecimum Kalendas Septembres
ante diem nonum Kalendas Septembres,ante diem decimum Kalendas Septembres
ante diem octavum Kalendas Septembres,ante diem nonum Kalendas Septembres
ante diem septimum Kalendas Septembres,ante diem octavum Kalendas Septembres
ante diem sextum Kalendas Septembres,ante diem septimum Kalendas Septembres
ante diem quintum Kalendas Septembres,ante diem sextum Kalendas Septembres
ante diem quartum Kalendas Septembres,ante diem quintum Kalendas Septembres
ante diem tertium Kalendas Septembres,ante diem quartum Kalendas Septembres
pridie pridie Kalendas Septembres,ante diem tertium Kalendas Septembres
Kalendae Septembres,pridie pridie Kalendas Septembres
ante diem quartum Nonas Septembres,Kalendae Septembres
ante diem tertium Nonas Septembres,ante diem quartum Nonas Septembres
pridie Nonas Septembres,ante diem tertium Nonas Septembres
Nonas Septembres,pridie Nonas Septembres
ante diem octavum Idus Septembres,Nonas Septembres
ante diem septimum Idus Septembres,ante diem octavum Idus Septembres
ante diem sextum Idus Septembres,ante diem septimum Idus Septembres
ante diem quintum Idus Septembres,ante diem sextum Idus Septembres
ante diem quartum Idus Septembres,ante diem quintum Idus Septembres
ante diem tertium Idus Septembres,ante diem quartum Idus Septembres
pridie Idus Septembres,ante diem tertium Idus Septembres
Idus Septembres,pridie Idus Septembres
ante diem duodevicesimum Kalendas Octobres,Idus Septembres
ante diem septimum decimum Kalendas Octobres,ante diem duodevicesimum Kalendas Octobres
ante diem sextum decimum Kalendas Octobres,ante diem septimum decimum Kalendas Octobres
ante diem quintum decimum Kalendas Octobres,ante diem sextum decimum Kalendas Octobres
ante diem quartum decimum Kalendas Octobres,ante diem quintum decimum Kalendas Octobres
ante diem tertium decimum Kalendas Octobres,ante diem quartum decimum Kalendas Octobres
ante diem duodecimum Kalendas Octobres,ante diem tertium decimum Kalendas Octobres
ante diem undecimum Kalendas Octobres,ante diem duodecimum Kalendas Octobres
ante diem decimum Kalendas Octobres,ante diem undecimum Kalendas Octobres
ante diem nonum Kalendas Octobres,ante diem decimum Kalendas Octobres
ante diem octavum Kalendas Octobres,ante diem nonum Kalendas Octobres
ante diem septimum Kalendas Octobres,ante diem octavum Kalendas Octobres
ante diem sextum Kalendas Octobres,ante diem septimum Kalendas Octobres
ante diem quintum Kalendas Octobres,ante diem sextum Kalendas Octobres
ante diem quartum Kalendas Octobres,ante diem quintum Kalendas Octobres
ante diem tertium Kalendas Octobres,ante diem quartum Kalendas Octobres
pridie pridie Kalendas Octobres,ante diem tertium Kalendas Octobres
Kalendae Octobres,pridie pridie Kalendas Octobres
ante diem sextum Nonas Octobres,Kalendae Octobres
ante diem quintum Nonas Octobres,ante diem sextum Nonas Octobres
ante diem quartum Nonas Octobres,ante diem quintum Nonas Octobres
ante diem tertium Nonas Octobres,ante diem quartum Nonas Octobres
pridie Nonas Octobres,ante diem tertium Nonas Octobres
Nonas Octobres,pridie Nonas Octobres
ante diem octavum Idus Octobres,Nonas Octobres
ante diem septimum Idus Octobres,ante diem octavum Idus Octobres
ante diem sextum Idus Octobres,ante diem septimum Idus Octobres
ante diem quintum Idus Octobres,ante diem sextum Idus Octobres
ante diem quartum Idus Octobres,ante diem quintum Idus Octobres
ante diem tertium Idus Octobres,ante diem quartum Idus Octobres
pridie Idus Octobres,ante diem tertium Idus Octobres
Idus Octobres,pridie Idus Octobres
ante diem septimum decimum Kalendas Novembres,Idus Octobres
ante diem sextum decimum Kalendas Novembres,ante diem septimum decimum Kalendas Novembres
ante diem quintum decimum Kalendas Novembres,ante diem sextum decimum Kalendas Novembres
ante diem quartum decimum Kalendas Novembres,ante diem quintum decimum Kalendas Novembres
ante diem tertium decimum Kalendas Novembres,ante diem quartum decimum Kalendas Novembres
ante diem duodecimum Kalendas Novembres,ante diem tertium decimum Kalendas Novembres
ante diem undecimum Kalendas Novembres,ante diem duodecimum Kalendas Novembres
ante diem decimum Kalendas Novembres,ante diem undecimum Kalendas Novembres
ante diem nonum Kalendas Novembres,ante diem decimum Kalendas Novembres
ante diem octavum Kalendas Novembres,ante diem nonum Kalendas Novembres
ante diem septimum Kalendas Novembres,ante diem octavum Kalendas Novembres
ante diem sextum Kalendas Novembres,ante diem septimum Kalendas Novembres
ante diem quintum Kalendas Novembres,ante diem sextum Kalendas Novembres
ante diem quartum Kalendas Novembres,ante diem quintum Kalendas Novembres
ante diem tertium Kalendas Novembres,ante diem quartum Kalendas Novembres
pridie pridie Kalendas Novembres,ante diem tertium Kalendas Novembres
Kalendae Novembres,pridie pridie Kalendas Novembres
ante diem quartum Nonas Novembres,Kalendae Novembres
ante diem tertium Nonas Novembres,ante diem quartum Nonas Novembres
pridie Nonas Novembres,ante diem tertium Nonas Novembres
Nonas Novembres,pridie Nonas Novembres
ante diem octavum Idus Novembres,Nonas Novembres
ante diem septimum Idus Novembres,ante diem octavum Idus Novembres
ante diem sextum Idus Novembres,ante diem septimum Idus Novembres
ante diem quintum Idus Novembres,ante diem sextum Idus Novembres
ante diem quartum Idus Novembres,ante diem quintum Idus Novembres
ante diem tertium Idus Novembres,ante diem quartum Idus Novembres
pridie Idus Novembres,ante diem tertium Idus Novembres
Idus Novembres,pridie Idus Novembres
ante diem duodevicesimum Kalendas Decembres,Idus Novembres
ante diem septimum decimum Kalendas Decembres,ante diem duodevicesimum Kalendas Decembres
ante diem sextum decimum Kalendas Decembres,ante diem septimum decimum Kalendas Decembres
ante diem quintum decimum Kalendas Decembres,ante diem sextum decimum Kalendas Decembres
ante diem quartum decimum Kalendas Decembres,ante diem quintum decimum Kalendas Decembres
ante diem tertium decimum Kalendas Decembres,ante diem quartum decimum Kalendas Decembres
ante diem duodecimum Kalendas Decembres,ante diem tertium decimum Kalendas Decembres
ante diem undecimum Kalendas Decembres,ante diem duodecimum Kalendas Decembres
ante diem decimum Kalendas Decembres,ante diem undecimum Kalendas Decembres
ante diem nonum Kalendas Decembres,ante diem decimum Kalendas Decembres
ante diem octavum Kalendas Decembres,ante diem nonum Kalendas Decembres
ante diem septimum Kalendas Decembres,ante diem octavum Kalendas Decembres
ante diem sextum Kalendas Decembres,ante diem septimum Kalendas Decembres
ante diem quintum Kalendas Decembres,ante diem sextum Kalendas Decembres
ante diem quartum Kalendas Decembres,ante diem quintum Kalendas Decembres
ante diem tertium Kalendas Decembres,ante diem quartum Kalendas Decembres
pridie pridie Kalendas Decembres,ante diem tertium Kalendas Decembres
Kalendae Decembres,pridie pridie Kalendas Decembres
ante diem quartum Nonas Decembres,Kalendae Decembres
ante diem tertium Nonas Decembres,ante diem quartum Nonas Decembres
pridie Nonas Decembres,ante diem tertium Nonas Decembres
Nonas Decembres,pridie Nonas Decembres
ante diem octavum Idus Decembres,Nonas Decembres
ante diem septimum Idus Decembres,ante diem octavum Idus Decembres
ante diem sextum Idus Decembres,ante diem septimum Idus Decembres
ante diem quintum Idus Decembres,ante diem sextum Idus Decembres
ante diem quartum Idus Decembres,ante diem quintum Idus Decembres
ante diem tertium Idus Decembres,ante diem quartum Idus Decembres
pridie Idus Decembres,ante diem tertium Idus Decembres
Idus Decembres,pridie Idus Decembres
ante diem undevicesimum Kalendas Ianuarias,Idus Decembres
ante diem duodevicesimum Kalendas Ianuarias,ante diem undevicesimum Kalendas Ianuarias
ante diem septimum decimum Kalendas Ianuarias,ante diem duodevicesimum Kalendas Ianuarias
ante diem sextum decimum Kalendas Ianuarias,ante diem septimum decimum Kalendas Ianuarias
ante diem quintum decimum Kalendas Ianuarias,ante diem sextum decimum Kalendas Ianuarias
ante diem quartum decimum Kalendas Ianuarias,ante diem quintum decimum Kalendas Ianuarias
ante diem tertium decimum Kalendas Ianuarias,ante diem quartum decimum Kalendas Ianuarias
ante diem duodecimum Kalendas Ianuarias,ante diem tertium decimum Kalendas Ianuarias
ante diem undecimum Kalendas Ianuarias,ante diem duodecimum Kalendas Ianuarias
ante diem decimum Kalendas Ianuarias,ante diem undecimum Kalendas Ianuarias
ante diem nonum Kalendas Ianuarias,ante diem decimum Kalendas Ianuarias
ante diem octavum Kalendas Ianuarias,ante diem nonum Kalendas Ianuarias
ante diem septimum Kalendas Ianuarias,ante diem octavum Kalendas Ianuarias
ante diem sextum Kalendas Ianuarias,ante diem septimum Kalendas Ianuarias
ante diem quintum Kalendas Ianuarias,ante diem sextum Kalendas Ianuarias
ante diem quartum Kalendas Ianuarias,ante diem quintum Kalendas Ianuarias
ante diem tertium Kalendas Ianuarias,ante diem quartum Kalendas Ianuarias
pridie Kalendas Ianuarias,ante diem tertium Kalendas Ianuarias
,pridie Kalendas Ianuarias
